,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,position,value
0,Xhaka,Arsenal,3,2.6,49,2113,845792,19.2,94,Midfielder,19.2
1,Elneny,Arsenal,3,0.6,41,111,198337,1.5,6,Midfielder,1.5
2,Holding,Arsenal,2,0.1,42,17,7171,1.7,7,Defender,1.7
3,Partey,Arsenal,3,0.4,47,1681,101282,14.3,67,Midfielder,14.3
4,Ødegaard,Arsenal,3,37.3,70,2131,5467369,20.6,144,Midfielder,20.6
5,Tierney,Arsenal,2,0.7,46,467,75619,5.2,24,Defender,5.2
7,White,Arsenal,2,11.9,47,1993,2169029,23.4,110,Defender,23.4
8,Nketiah,Arsenal,4,5.8,67,989,1921795,8.5,57,Forward,8.5
9,Smith Rowe,Arsenal,3,0.4,56,102,26460,1.8,10,Midfielder,1.8
10,Saka,Arsenal,3,40.3,85,2245,5244801,17.5,149,Midfielder,17.5
11,Tomiyasu,Arsenal,2,0.5,42,641,88803,7.4,31,Defender,7.4
12,Ramsdale,Arsenal,1,12.1,49,2340,1469716,21,103,Goalkeeper,21
13,dos Santos Magalhães,Arsenal,2,14,52,2340,2211722,20.8,108,Defender,20.8
15,Martinelli Silva,Arsenal,3,36.3,65,2095,6200418,21.8,142,Midfielder,21.8
18,Nelson,Arsenal,3,0,47,85,14214,6.6,31,Midfielder,6.6
20,Ferreira Vieira,Arsenal,3,0.1,56,387,19996,6.1,34,Midfielder,6.1
21,Saliba,Arsenal,2,33.6,53,2325,5388498,20.8,110,Defender,20.8
22,Oliveira Alencar,Arsenal,3,0.1,46,1,7000,0.2,1,Midfielder,0.2
23,Fernando de Jesus,Arsenal,4,25,79,1220,2827651,8.7,69,Forward,8.7
24,Trossard,Arsenal,3,7.4,66,1625,4605146,16.2,107,Midfielder,16.2
25,Frello Filho,Arsenal,3,2,58,1623,440776,10.5,61,Midfielder,10.5
26,Zinchenko,Arsenal,2,14,52,1522,2714947,15.4,80,Defender,15.4
28,Nwaneri,Arsenal,3,0,45,1,1240,0.2,1,Midfielder,0.2
34,Coutinho Correia,Aston Villa,3,3,66,777,233006,4.8,32,Midfielder,4.8
35,Martínez Romero,Aston Villa,1,4.4,49,2014,579222,15.9,78,Goalkeeper,15.9
36,Chambers,Aston Villa,2,0.2,42,229,9331,1.4,6,Defender,1.4
37,Digne,Aston Villa,2,1.3,46,1261,328072,9.1,42,Defender,9.1
39,Olsen,Aston Villa,1,1.6,39,235,114676,2.3,9,Goalkeeper,2.3
40,Sanson,Aston Villa,3,0.2,43,10,29851,0.5,2,Midfielder,0.5
41,McGinn,Aston Villa,3,0.5,51,1522,39981,10.6,54,Midfielder,10.6
43,Mings,Aston Villa,2,4,43,1980,675633,16.3,70,Defender,16.3
44,Watkins,Aston Villa,4,8.9,73,1969,1591960,14,102,Forward,14
46,Buendía Stati,Aston Villa,3,0.6,57,1458,136657,13.2,75,Midfielder,13.2
47,Cash,Aston Villa,2,3.6,46,1467,248901,9.8,45,Defender,9.8
48,Konsa Ngoyo,Aston Villa,2,0.4,44,2152,79666,14.5,64,Defender,14.5
49,Bailey,Aston Villa,3,3.5,44,1479,1033767,17.7,78,Midfielder,17.7
50,Soares de Paulo,Aston Villa,3,0.4,48,1766,96362,15.6,75,Midfielder,15.6
51,Ramsey,Aston Villa,3,0.6,52,1496,144159,12.1,63,Midfielder,12.1
53,Santos Silva,Aston Villa,2,0.2,47,180,6801,0.6,3,Defender,0.6
56,Kamara,Aston Villa,3,0.1,48,1521,13205,7.9,38,Midfielder,7.9
57,Archer,Aston Villa,4,1.9,42,43,343635,1.4,6,Forward,1.4
60,Dendoncker,Aston Villa,3,0.1,47,568,8551,5.1,24,Midfielder,5.1
61,Augustinsson,Aston Villa,2,0,43,76,2106,0.5,2,Defender,0.5
63,Young,Aston Villa,2,0.6,43,1264,207384,12.3,53,Defender,12.3
67,Moreno Lopera,Aston Villa,2,0.1,44,420,29040,4.3,19,Defender,4.3
69,Durán,Aston Villa,4,0,55,55,3041,0.7,4,Forward,0.7
72,Smith,Bournemouth,2,0.2,43,2043,49050,11.4,49,Defender,11.4
73,Stanislas,Bournemouth,3,0,48,58,1945,0.8,4,Midfielder,0.8
74,Fredericks,Bournemouth,2,0,44,517,3158,2.5,11,Defender,2.5
76,Lowe,Bournemouth,3,0,52,11,1210,0.4,2,Midfielder,0.4
77,Moore,Bournemouth,4,0.9,51,1113,419715,10,51,Forward,10
78,Marcondes,Bournemouth,3,0,47,8,1011,0.2,1,Midfielder,0.2
79,Lerma Solís,Bournemouth,3,0.4,47,2108,127286,13.4,63,Midfielder,13.4
80,Stacey,Bournemouth,2,0,43,292,2542,1.2,5,Defender,1.2
81,Solanke,Bournemouth,4,1.8,55,1705,1471090,13.8,76,Forward,13.8
82,Cook,Bournemouth,3,0.1,49,1505,10832,9,44,Midfielder,9
83,Pearson,Bournemouth,3,0.1,44,282,53031,2,9,Midfielder,2
84,Christie,Bournemouth,3,0,53,1037,6461,7,37,Midfielder,7
85,Billing,Bournemouth,3,0.3,51,1793,284565,16.3,83,Midfielder,16.3
86,Mepham,Bournemouth,2,0.1,43,1747,28292,6.3,27,Defender,6.3
87,Travers,Bournemouth,1,0.4,42,945,63760,6,25,Goalkeeper,6
88,Kelly,Bournemouth,2,0.5,43,900,119342,6.3,27,Defender,6.3
89,Dembélé,Bournemouth,3,0.1,47,104,4315,1.3,6,Midfielder,1.3
90,Anthony,Bournemouth,3,0.1,52,849,11102,8.8,46,Midfielder,8.8
91,Zemura,Bournemouth,2,0.1,43,1452,38381,10.9,47,Defender,10.9
93,Stephens,Bournemouth,2,0,43,588,3536,4.7,20,Defender,4.7
94,Rothwell,Bournemouth,3,0,49,297,742,3.3,16,Midfielder,3.3
95,Tavernier,Bournemouth,3,0.2,47,1366,153481,14.9,70,Midfielder,14.9
98,Murara Neto,Bournemouth,1,0.2,45,1305,60431,10.4,47,Goalkeeper,10.4
99,Senesi,Bournemouth,2,0.1,44,1697,30396,10.7,47,Defender,10.7
101,Bevan,Bournemouth,2,0,40,8,6869,0.2,1,Defender,0.2
106,Ouattara,Bournemouth,3,0,50,486,3448,3.6,18,Midfielder,3.6
108,Semenyo,Bournemouth,4,0,50,196,3359,1.2,6,Forward,1.2
109,Viña,Bournemouth,2,0,45,14,449,0.4,2,Defender,0.4
111,Traorè,Bournemouth,3,0,45,305,1831,2.2,10,Midfielder,2.2
114,Jansson,Brentford,2,0.3,42,514,39487,4,17,Defender,4
115,Nørgaard,Brentford,3,0.2,53,1131,45467,10.2,54,Midfielder,10.2
116,Toney,Brentford,4,34.1,77,1971,9250888,16.9,130,Forward,16.9
117,Raya Martin,Brentford,1,13.9,48,2160,2007799,22.7,109,Goalkeeper,22.7
118,Canós Tenés,Brentford,2,0.1,50,73,35030,1,5,Defender,1
119,Dasilva,Brentford,3,3.8,41,1053,1844169,14.4,59,Midfielder,14.4
120,Ajer,Brentford,2,0.1,45,763,23738,6.4,29,Defender,6.4
121,Henry,Brentford,2,3.4,45,2051,591187,15.8,71,Defender,15.8
122,Janelt,Brentford,3,0.2,55,1442,40155,11.6,64,Midfielder,11.6
123,Ghoddos,Brentford,3,0,48,82,1822,1.9,9,Midfielder,1.9
124,Jensen,Brentford,3,1.6,48,1855,668094,19,91,Midfielder,19
125,Wissa,Brentford,3,0.2,53,1065,87902,13.2,70,Midfielder,13.2
126,Roerslev Rasmussen,Brentford,2,0.1,43,930,10971,8.6,37,Defender,8.6
127,Bech Sørensen,Brentford,2,0,45,18,1768,0.9,4,Defender,0.9
128,Pinnock,Brentford,2,0.8,44,1440,142493,12.5,55,Defender,12.5
129,Onyeka,Brentford,3,0,48,435,3885,3.8,18,Midfielder,3.8
130,Baptiste,Brentford,3,0.2,45,429,37777,4.2,19,Midfielder,4.2
131,Mbeumo,Brentford,4,4.5,58,1837,1116503,14.5,84,Forward,14.5
137,Hickey,Brentford,2,0.3,49,905,46140,5.3,26,Defender,5.3
138,Lewis-Potter,Brentford,3,0,52,313,3778,2.7,14,Midfielder,2.7
140,Mee,Brentford,2,17.1,51,2018,2846881,18.8,96,Defender,18.8
142,Dervişoğlu,Brentford,4,0.5,45,6,271681,0.9,4,Forward,0.9
143,Damsgaard,Brentford,3,0.1,50,377,24146,2.8,14,Midfielder,2.8
144,Jorgensen,Brentford,2,0.8,40,741,243506,5.8,23,Defender,5.8
149,Schade,Brentford,3,0,49,65,525,1.4,7,Midfielder,1.4
150,Lallana,Brighton,3,0.1,48,717,34785,9.8,47,Midfielder,9.8
151,Steele,Brighton,1,0.7,39,90,61681,1.5,6,Goalkeeper,1.5
152,Welbeck,Brighton,4,1,65,1154,426555,7.7,50,Forward,7.7
153,Groß,Brighton,3,9.5,54,2002,4104270,19.1,103,Midfielder,19.1
154,Dunk,Brighton,2,5,47,2070,1273767,14.5,68,Defender,14.5
155,March,Brighton,3,8.1,51,1975,1581985,21.2,108,Midfielder,21.2
156,Webster,Brighton,2,0.4,45,1409,193506,10.9,49,Defender,10.9
157,Veltman,Brighton,2,3.1,46,1534,980807,16.1,74,Defender,16.1
158,Sánchez,Brighton,1,11.3,46,1980,1882705,17.6,81,Goalkeeper,17.6
159,Lamptey,Brighton,2,1.1,42,439,100338,5.5,23,Defender,5.5
161,Mac Allister,Brighton,3,4.2,54,1726,1622107,15.6,84,Midfielder,15.6
163,Mwepu,Brighton,3,0,53,209,5979,2.1,11,Midfielder,2.1
164,Sarmiento Morante,Brighton,3,0,45,166,6462,3.3,15,Midfielder,3.3
165,Caicedo Corozo,Brighton,3,0.3,50,1909,75362,10.2,51,Midfielder,10.2
168,Undav,Brighton,4,0.2,50,241,35053,2.4,12,Forward,2.4
169,Mitoma,Brighton,3,18.1,55,1096,2566706,15.3,84,Midfielder,15.3
170,Enciso,Brighton,4,0.3,46,133,43409,1.7,8,Forward,1.7
172,Gilmour,Brighton,3,0.3,42,160,68868,1.7,7,Midfielder,1.7
175,van Hecke,Brighton,2,0.3,40,79,30015,0.5,2,Defender,0.5
176,Colwill,Brighton,2,0.1,44,462,18139,3.4,15,Defender,3.4
177,Estupiñán,Brighton,2,9.1,48,1395,1352215,14.6,70,Defender,14.6
178,Ferguson,Brighton,4,2,46,383,441931,7.2,33,Forward,7.2
180,Moran,Brighton,3,0,45,11,1141,0.2,1,Midfielder,0.2
183,Buonanotte,Brighton,3,0,45,46,610,1.3,6,Midfielder,1.3
186,Chukwuemeka,Chelsea,3,0.3,43,210,73118,2.8,12,Midfielder,2.8
187,Cucurella Saseta,Chelsea,2,6.4,50,1343,2264130,11.2,56,Defender,11.2
188,Azpilicueta,Chelsea,2,1.2,48,1101,255089,8.3,40,Defender,8.3
189,Emiliano da Silva,Chelsea,2,6.6,54,1811,1126555,13.3,72,Defender,13.3
192,Kovacic,Chelsea,3,0.3,49,992,49263,5.9,29,Midfielder,5.9
193,Arrizabalaga,Chelsea,1,8.8,47,1485,1677922,17.9,84,Goalkeeper,17.9
194,Kanté,Chelsea,3,1,48,174,87241,1,5,Midfielder,1
195,Ziyech,Chelsea,3,0.4,55,565,61926,4,22,Midfielder,4
196,Loftus-Cheek,Chelsea,3,0.1,50,1174,33056,6.6,33,Midfielder,6.6
199,Chilwell,Chelsea,2,2.2,58,707,614882,8.1,47,Defender,8.1
200,Pulisic,Chelsea,3,0.4,56,600,102923,5.2,29,Midfielder,5.2
201,Chalobah,Chelsea,2,0.5,44,982,148680,8.4,37,Defender,8.4
202,Mount,Chelsea,3,3.9,72,1628,2157858,11.2,81,Midfielder,11.2
205,Havertz,Chelsea,4,3.5,75,1795,1095848,9.5,71,Forward,9.5
206,James,Chelsea,2,12.5,58,849,4048595,5.3,31,Defender,5.3
207,Mendy,Chelsea,1,6,48,765,691595,4.8,23,Goalkeeper,4.8
208,Gallagher,Chelsea,3,0.5,56,862,72580,6.2,35,Midfielder,6.2
209,Broja,Chelsea,4,0.3,52,285,74753,4,21,Forward,4
211,Fofana,Chelsea,2,0.9,43,566,333965,4.7,20,Defender,4.7
212,Sterling,Chelsea,3,3.4,97,1335,1357039,7,68,Midfielder,7
213,Koulibaly,Chelsea,2,5.9,55,1339,999551,10.4,57,Defender,10.4
215,Zakaria,Chelsea,3,0,49,336,9245,2.2,11,Midfielder,2.2
216,Aubameyang,Chelsea,4,0.7,84,433,574343,2.6,22,Forward,2.6
218,Hutchinson,Chelsea,3,0,43,22,1307,0.2,1,Midfielder,0.2
219,Hall,Chelsea,3,0,44,303,4057,1.8,8,Midfielder,1.8
221,Fofana,Chelsea,4,0.1,50,60,17772,0.4,2,Forward,0.4
222,Badiashile,Chelsea,2,0.9,50,540,163992,5.8,29,Defender,5.8
223,Félix Sequeira,Chelsea,4,3.5,76,386,614725,1.7,13,Forward,1.7
224,Mudryk,Chelsea,3,1.4,66,179,468858,0.9,6,Midfielder,0.9
226,Madueke,Chelsea,3,0.1,55,181,12547,1.1,6,Midfielder,1.1
227,Fernández,Chelsea,3,1.1,50,443,183705,3.2,16,Midfielder,3.2
228,Sambi Lokonga,Crystal Palace,3,0.2,43,479,37540,4,17,Midfielder,4
229,Guaita,Crystal Palace,1,2.1,44,2250,508421,21.4,94,Goalkeeper,21.4
230,Tomkins,Crystal Palace,2,1,39,244,164958,2.1,8,Defender,2.1
231,McArthur,Crystal Palace,3,0,48,9,823,0.2,1,Midfielder,0.2
233,Ward,Crystal Palace,2,0.2,44,1293,64980,9.5,42,Defender,9.5
234,Clyne,Crystal Palace,2,0.2,45,1475,19794,7.8,35,Defender,7.8
235,Milivojevic,Crystal Palace,3,0.3,42,284,54569,3.3,14,Midfielder,3.3
236,Ayew,Crystal Palace,3,0.2,53,1747,44070,10.9,58,Midfielder,10.9
237,Zaha,Crystal Palace,3,7.3,72,1751,3888830,11,79,Midfielder,11
238,Schlupp,Crystal Palace,3,0.1,47,1788,18081,11.7,55,Midfielder,11.7
239,Hughes,Crystal Palace,3,0,48,378,1631,3.1,15,Midfielder,3.1
240,Riedewald,Crystal Palace,3,0,43,46,5364,0.9,4,Midfielder,0.9
241,Andersen,Crystal Palace,2,1.5,45,1747,420619,11.6,52,Defender,11.6
242,Edouard,Crystal Palace,4,1.9,50,1114,757704,10.2,51,Forward,10.2
243,Guéhi,Crystal Palace,2,1.1,44,2160,400708,12.7,56,Defender,12.7
244,Mateta,Crystal Palace,4,0.4,51,669,89128,5.3,27,Forward,5.3
245,Eze,Crystal Palace,3,2.1,54,1668,1023471,16.5,89,Midfielder,16.5
246,Mitchell,Crystal Palace,2,0.7,44,1719,138736,13.4,59,Defender,13.4
247,Olise,Crystal Palace,3,0.5,54,1604,113964,15,81,Midfielder,15
249,Ebiowei,Crystal Palace,3,0.2,42,31,73938,0.7,3,Midfielder,0.7
254,Doucouré,Crystal Palace,3,0.1,50,1888,20058,9.6,48,Midfielder,9.6
255,Richards,Crystal Palace,2,0.1,44,353,3015,2.7,12,Defender,2.7
263,Ozoh,Crystal Palace,3,0,45,1,231,0.2,1,Midfielder,0.2
264,Ahamada,Crystal Palace,3,0,45,39,448,0.7,3,Midfielder,0.7
265,Maupay,Everton,4,0.7,59,933,194431,5.6,33,Forward,5.6
266,Begović,Everton,1,0.9,39,90,145074,2.3,9,Goalkeeper,2.3
267,Rondón,Everton,4,0.4,49,103,104601,1.4,7,Forward,1.4
268,Coleman,Everton,2,1.2,44,1274,187122,12.3,54,Defender,12.3
270,Keane,Everton,2,0.3,42,202,14786,1.4,6,Defender,1.4
271,Alli,Everton,3,0.1,53,38,7054,0.4,2,Midfielder,0.4
272,Pickford,Everton,1,6,44,2250,804880,17.5,77,Goalkeeper,17.5
275,Doucouré,Everton,3,0.1,53,750,9522,5.3,28,Midfielder,5.3
276,Iwobi,Everton,3,2,54,2299,584375,16.3,88,Midfielder,16.3
278,Mina,Everton,2,0.1,43,234,12772,3,13,Defender,3
279,Gray,Everton,3,0.6,53,1845,200410,13.8,73,Midfielder,13.8
280,Davies,Everton,3,0,49,456,4455,3.1,15,Midfielder,3.1
281,Calvert-Lewin,Everton,4,0.3,79,729,159354,3.2,25,Forward,3.2
282,Holgate,Everton,2,0.1,43,364,8455,2.8,12,Defender,2.8
283,Godfrey,Everton,2,0,43,330,4416,0.9,4,Defender,0.9
284,Mykolenko,Everton,2,1,43,2138,269991,14,60,Defender,14
286,Patterson,Everton,2,2.7,39,986,1256810,6.2,24,Defender,6.2
288,Tarkowski,Everton,2,6.7,44,2340,1199174,15.9,70,Defender,15.9
289,Coady,Everton,2,4.1,49,1970,952006,14.3,70,Defender,14.3
290,Nascimento Vinagre,Everton,2,0,43,24,1796,0.5,2,Defender,0.5
291,McNeil,Everton,3,0.3,51,1410,73651,11.6,59,Midfielder,11.6
294,Garner,Everton,3,0,45,137,12064,1.1,5,Midfielder,1.1
295,Onana,Everton,3,0.2,48,1895,64136,12.3,59,Midfielder,12.3
297,Gueye,Everton,3,0.1,49,1626,15679,9.2,45,Midfielder,9.2
300,Cannon,Everton,4,0,45,23,5956,0.4,2,Forward,0.4
302,Simms,Everton,4,0.1,45,98,16884,1.3,6,Forward,1.3
303,Alves Soares,Fulham,2,0.1,42,36,8128,1,4,Defender,1
304,Leno,Fulham,1,3.4,45,2160,486827,22.4,101,Goalkeeper,22.4
305,Duffy,Fulham,2,0.1,43,4,5038,0.9,4,Defender,0.9
306,Cairney,Fulham,3,0,47,455,4408,5.3,25,Midfielder,5.3
307,Ream,Fulham,2,3.3,46,2337,552051,18.9,87,Defender,18.9
309,Chalobah,Fulham,3,0.1,44,11,11139,0.2,1,Midfielder,0.2
310,Kebano,Fulham,3,0.1,54,711,11557,6.5,35,Midfielder,6.5
311,De Cordova-Reid,Fulham,3,0.2,55,1972,70041,13.6,75,Midfielder,13.6
315,Adarabioyo,Fulham,2,0.1,44,1094,29891,6.8,30,Defender,6.8
316,Mitrović,Fulham,4,17.8,67,1726,7659424,13.1,88,Forward,13.1
317,Reed,Fulham,3,0.6,44,2044,289672,15.9,70,Midfielder,15.9
318,Wilson,Fulham,3,0.1,57,426,11321,4,23,Midfielder,4
319,Rodák,Fulham,1,0.2,43,180,16951,1.6,7,Goalkeeper,1.6
321,Tete,Fulham,2,0.6,44,1679,139944,14.3,63,Defender,14.3
322,Onomah,Fulham,3,0.1,43,14,14661,0.5,2,Midfielder,0.5
323,Robinson,Fulham,2,0.5,44,2008,91879,15.9,70,Defender,15.9
325,Stansfield,Fulham,4,0.7,45,85,324797,1.6,7,Forward,1.6
326,Palhinha Gonçalves,Fulham,3,0.3,49,2135,78922,13.5,66,Midfielder,13.5
327,James,Fulham,3,0.2,60,549,34168,4.2,25,Midfielder,4.2
328,Hoelgebaum Pereira,Fulham,3,15.9,44,2169,3018634,22.3,98,Midfielder,22.3
329,Diop,Fulham,2,0.4,43,1414,84980,14.4,62,Defender,14.4
330,Francois,Fulham,3,0,44,1,1528,0.2,1,Midfielder,0.2
331,Mbabu,Fulham,2,0.1,43,141,11275,1.6,7,Defender,1.6
332,Harris,Fulham,3,0,44,10,6055,0.7,3,Midfielder,0.7
333,Solomon,Fulham,3,0.2,49,201,29941,6.1,30,Midfielder,6.1
335,Kurzawa,Fulham,2,0,43,136,8206,0.5,2,Defender,0.5
336,Borges da Silva,Fulham,3,0.5,55,1458,132046,13.3,73,Midfielder,13.3
337,Alves Morais,Fulham,4,0.2,54,554,41877,6.9,37,Forward,6.9
341,Lukic,Fulham,3,0,45,120,456,0.7,3,Midfielder,0.7
344,Evans,Leicester,2,0.2,44,810,16872,2.5,11,Defender,2.5
346,Albrighton,Leicester,3,0.1,47,232,6816,2.8,13,Midfielder,2.8
347,Mendy,Leicester,3,0.4,43,538,50214,5.1,22,Midfielder,5.1
349,Ward,Leicester,1,25.6,40,2250,2312609,22.2,89,Goalkeeper,22.2
350,Vardy,Leicester,4,2,91,1231,263828,5.9,54,Forward,5.9
351,Barbosa Pereira,Leicester,2,0,43,97,1450,0.9,4,Defender,0.9
352,Amartey,Leicester,2,0.7,40,1363,209646,11.5,46,Defender,11.5
353,Castagne,Leicester,2,6.2,44,2085,1843253,18.2,80,Defender,18.2
354,Tielemans,Leicester,3,1.2,61,1705,224479,11,67,Midfielder,11
355,Pérez,Leicester,3,0.1,47,378,9724,4,19,Midfielder,4
356,Maddison,Leicester,3,4.9,81,1452,3319904,12.2,99,Midfielder,12.2
357,Iheanacho,Leicester,4,1.9,62,655,282732,8.9,55,Forward,8.9
359,Barnes,Leicester,3,1.8,67,1921,468860,14,94,Midfielder,14
360,Ndidi,Leicester,3,0.2,48,991,22296,4.8,23,Midfielder,4.8
361,Dewsbury-Hall,Leicester,3,0.6,49,1776,309979,14.5,71,Midfielder,14.5
362,Söyüncü,Leicester,2,0.2,42,78,15497,0.5,2,Defender,0.5
363,Justin,Leicester,2,0.4,42,1252,292847,10.7,45,Defender,10.7
364,Soumaré,Leicester,3,0.3,44,880,69616,6.1,27,Midfielder,6.1
365,Thomas,Leicester,2,0.1,40,689,26104,4.2,17,Defender,4.2
366,Daka,Leicester,4,0.8,56,710,229135,8.2,46,Forward,8.2
367,Brunt,Leicester,2,0.3,39,22,27469,0.3,1,Defender,0.3
369,Praet,Leicester,3,0,48,505,1742,5.6,27,Midfielder,5.6
371,Faes,Leicester,2,0.2,42,1710,63177,11,46,Defender,11
375,Kristiansen,Leicester,2,0,45,350,3843,1.3,6,Defender,1.3
376,Cardoso Lemos Martins,Leicester,3,0.1,55,361,26323,2.9,16,Midfielder,2.9
377,Souttar,Leicester,2,0,45,450,5636,1.8,8,Defender,1.8
379,Cooper,Leeds,2,0.1,44,1106,12873,6.8,30,Defender,6.8
380,Ayling,Leeds,2,0.3,45,1058,52638,8.4,38,Defender,8.4
381,Klich,Leeds,3,0,46,266,5483,2.6,12,Midfielder,2.6
382,Forshaw,Leeds,3,0,44,156,4551,1.4,6,Midfielder,1.4
