,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,position,value
383,Moreno,Leeds,3,3.7,63,1296,4490457,14.6,92,Midfielder,14.6
385,Bamford,Leeds,4,0.5,72,819,153551,4.9,35,Forward,4.9
386,Llorente,Leeds,2,0.2,44,648,30610,3.6,16,Defender,3.6
388,Koch,Leeds,2,0.2,45,2112,22489,10.7,48,Defender,10.7
390,Harrison,Leeds,3,1.6,58,1653,905011,12.8,74,Midfielder,12.8
392,Struijk,Leeds,2,0.6,45,1677,278422,13.8,62,Defender,13.8
394,Greenwood,Leeds,4,10.9,41,328,1974577,6.6,27,Forward,6.6
395,Meslier,Leeds,1,1.9,45,2250,279447,17.8,80,Goalkeeper,17.8
396,Firpo Adames,Leeds,2,0.1,45,565,8390,5.1,23,Defender,5.1
397,Summerville,Leeds,3,0.7,42,933,306288,14,59,Midfielder,14
399,Gelhardt,Leeds,4,0.2,51,201,39656,3.9,20,Forward,3.9
401,Kristensen,Leeds,2,0.3,47,1177,61188,6,28,Defender,6
402,Roca Junqué,Leeds,3,0.1,48,1467,19084,8.8,42,Midfielder,8.8
403,Aaronson,Leeds,3,0.7,53,1783,234733,11.7,62,Midfielder,11.7
404,Gyabi,Leeds,3,0.1,42,7,21536,0.2,1,Midfielder,0.2
405,Adams,Leeds,3,0.2,49,2066,24697,9.2,45,Midfielder,9.2
406,Sinisterra Lucumí,Leeds,3,0.2,65,534,162974,3.8,25,Midfielder,3.8
407,Drameh,Leeds,2,0.1,40,70,10934,0.2,1,Defender,0.2
410,Gnonto,Leeds,4,1.7,50,978,353020,7.4,37,Forward,7.4
411,Fernández,Leeds,4,0,45,24,4833,0.7,3,Forward,0.7
413,Wöber,Leeds,2,0.1,45,609,12121,4.7,21,Defender,4.7
414,Rutter,Leeds,4,0,53,176,7510,1.3,7,Forward,1.3
415,McKennie,Leeds,3,0,48,464,7977,1.9,9,Midfielder,1.9
418,Milner,Liverpool,3,0.6,44,679,151978,6.8,30,Midfielder,6.8
419,Henderson,Liverpool,3,0.5,53,1226,56816,7.4,39,Midfielder,7.4
420,Matip,Liverpool,2,0.9,59,821,110500,3.6,21,Defender,3.6
421,Alcántara do Nascimento,Liverpool,3,0.6,51,1156,110087,5.1,26,Midfielder,5.1
422,Oxlade-Chamberlain,Liverpool,3,0,49,312,4681,3.9,19,Midfielder,3.9
423,Firmino,Liverpool,4,2.8,80,1000,1847118,10.1,81,Forward,10.1
424,van Dijk,Liverpool,2,11.4,65,1845,1404209,14.5,94,Defender,14.5
425,Ramses Becker,Liverpool,1,15.6,54,2250,1614757,21.7,117,Goalkeeper,21.7
426,Tavares,Liverpool,3,0.8,52,1616,98782,7.9,41,Midfielder,7.9
427,Salah,Liverpool,3,27.5,127,2226,4699299,12.1,154,Midfielder,12.1
428,Robertson,Liverpool,2,6.9,68,1680,1439796,13.1,89,Defender,13.1
429,Alexander-Arnold,Liverpool,2,20,73,1868,2429922,12.9,94,Defender,12.9
430,Gomez,Liverpool,2,1.2,43,1281,579953,14.4,62,Defender,14.4
431,Keita,Liverpool,3,0,47,290,9990,2.1,10,Midfielder,2.1
432,Teixeira da Silva,Liverpool,4,0.4,88,403,73014,2,18,Forward,2
434,Konaté,Liverpool,2,0.5,48,561,131702,4.4,21,Defender,4.4
435,Jones,Liverpool,3,0,49,189,1446,1.4,7,Midfielder,1.4
436,Tsimikas,Liverpool,2,0.2,44,530,121570,8,35,Defender,8
437,Díaz,Liverpool,3,6,78,613,2345138,5,39,Midfielder,5
438,Elliott,Liverpool,3,0.6,49,1374,274303,11,54,Midfielder,11
439,Freitas Gouveia Carvalho,Liverpool,3,0.3,51,331,121715,4.9,25,Midfielder,4.9
440,Núñez Ribeiro,Liverpool,4,11.2,88,1277,3785768,9,79,Forward,9
446,Phillips,Liverpool,2,0.4,39,65,72345,0.8,3,Defender,0.8
448,Bajcetic,Liverpool,3,0.2,44,435,39636,4.5,20,Midfielder,4.5
449,Clark,Liverpool,3,0,45,7,1323,0.2,1,Midfielder,0.2
452,Doak,Liverpool,3,0,45,23,786,0.4,2,Midfielder,0.4
453,Gakpo,Liverpool,3,4.7,77,568,983602,5.1,39,Midfielder,5.1
454,Walker,Man City,2,4.5,48,1162,1311226,8.1,39,Defender,8.1
455,Gündogan,Man City,3,2.1,73,1663,754063,10.7,78,Midfielder,10.7
456,De Bruyne,Man City,3,27.9,121,1924,6115839,10.6,128,Midfielder,10.6
457,Stones,Man City,2,1.5,54,1180,355574,10,54,Defender,10
458,Mahrez,Man City,3,9.4,76,1055,1937734,10.9,83,Midfielder,10.9
459,Grealish,Man City,3,2.7,68,1432,434404,11.5,78,Midfielder,11.5
460,Cancelo,Man City,2,19.4,71,1273,3729404,10.3,73,Defender,10.3
461,Santana de Moraes,Man City,1,13.9,54,2340,1565371,17,92,Goalkeeper,17
462,Aké,Man City,2,4.3,51,1420,856029,11.4,58,Defender,11.4
463,Laporte,Man City,2,0.5,57,555,94873,3.7,21,Defender,3.7
465,Veiga de Carvalho e Silva,Man City,3,5.8,68,1702,1835656,13.4,91,Midfielder,13.4
466,Gato Alves Dias,Man City,2,6.5,59,1277,809103,9.2,54,Defender,9.2
467,Foden,Man City,3,10.1,80,1342,4368152,13.5,108,Midfielder,13.5
468,Hernandez,Man City,3,1.9,56,2147,246167,15.2,85,Midfielder,15.2
469,Palmer,Man City,3,0.1,43,110,16135,1.9,8,Midfielder,1.9
471,Haaland,Man City,4,84.7,122,2021,5638711,16.1,197,Forward,16.1
472,Álvarez,Man City,4,1.8,60,703,508004,9.3,56,Forward,9.3
477,Phillips,Man City,3,0.1,48,56,6942,0.8,4,Midfielder,0.8
479,Lewis,Man City,2,1.6,39,540,329950,4.4,17,Defender,4.4
480,Gómez,Man City,2,0.1,45,141,37820,1.8,8,Defender,1.8
483,Akanji,Man City,2,2.6,50,1540,661223,10.8,54,Defender,10.8
484,Perrone,Man City,3,0,44,18,130,0.2,1,Midfielder,0.2
486,dos Santos Aveiro,Man Utd,4,2,102,519,227123,2,20,Forward,2
487,De Gea Quintana,Man Utd,1,10.3,50,2250,1350561,19.2,96,Goalkeeper,19.2
489,Varane,Man Utd,2,3,48,1390,525300,10,48,Defender,10
490,Maguire,Man Utd,2,0.4,47,478,29963,4.9,23,Defender,4.9
491,Rodrigues de Paula Santos,Man Utd,3,0.5,51,957,51058,8.6,44,Midfielder,8.6
492,Shaw,Man Utd,2,21.1,52,1751,3708165,17.1,89,Defender,17.1
493,Borges Fernandes,Man Utd,3,7.9,98,2159,2211775,11.8,116,Midfielder,11.8
495,Rashford,Man Utd,3,54.1,73,2038,8128567,21,153,Midfielder,21
496,van de Beek,Man Utd,3,0.2,51,162,8136,1.6,8,Midfielder,1.6
497,Lindelöf,Man Utd,2,0.1,41,538,26543,5.1,21,Defender,5.1
498,McTominay,Man Utd,3,0.2,49,810,22747,3.9,19,Midfielder,3.9
500,Sancho,Man Utd,3,3,71,850,624645,7.7,55,Midfielder,7.7
501,Wan-Bissaka,Man Utd,2,0.7,43,646,207172,7.2,31,Defender,7.2
502,Dalot Teixeira,Man Utd,2,4.2,47,1519,2299889,14.3,67,Defender,14.3
504,Elanga,Man Utd,3,0.4,47,417,76798,4.9,23,Midfielder,4.9
505,Martial,Man Utd,4,1,63,457,1242878,5.1,32,Forward,5.1
506,Pellistri Rebollo,Man Utd,3,0,43,31,2851,0.2,1,Midfielder,0.2
508,Malacia,Man Utd,2,1.8,42,917,500818,10.2,43,Defender,10.2
509,Eriksen,Man Utd,3,2.1,62,1489,515568,11.9,74,Midfielder,11.9
510,Martínez,Man Utd,2,6.6,45,1762,1089827,12.9,58,Defender,12.9
513,Garnacho,Man Utd,3,0.8,42,428,252284,6.9,29,Midfielder,6.9
514,Casimiro,Man Utd,3,2.2,49,1303,666188,11.8,58,Midfielder,11.8
515,dos Santos,Man Utd,3,2.7,73,1000,1552293,5.6,41,Midfielder,5.6
517,Mainoo,Man Utd,3,0,45,10,469,0.2,1,Midfielder,0.2
521,Weghorst,Man Utd,4,0.5,58,511,190432,2.4,14,Forward,2.4
522,Sabitzer,Man Utd,3,0.1,48,272,13280,1.9,9,Midfielder,1.9
523,Gordon,Newcastle,3,1,51,1254,703097,9.2,47,Midfielder,9.2
524,Ritchie,Newcastle,2,0.1,42,22,3639,0.7,3,Defender,0.7
528,Dubravka,Newcastle,1,0.4,41,66,22734,2,8,Goalkeeper,2
529,Wilson,Newcastle,4,2.8,69,1214,2458352,10.6,73,Forward,10.6
530,Trippier,Newcastle,2,64.2,60,2107,6720112,24.5,147,Defender,24.5
531,Burn,Newcastle,2,3.5,45,2030,679449,20.4,92,Defender,20.4
532,Fraser,Newcastle,3,0.1,52,308,11283,2.1,11,Midfielder,2.1
533,Lascelles,Newcastle,2,0.1,43,195,5936,0.2,1,Defender,0.2
536,Manquillo Gaitán,Newcastle,2,0.1,42,10,3176,0.2,1,Defender,0.2
537,Krafth,Newcastle,2,0,43,1,585,0.2,1,Defender,0.2
538,Murphy,Newcastle,3,2.2,41,580,430362,9.5,39,Midfielder,9.5
539,Schär,Newcastle,2,13.6,51,1964,3163392,20,102,Defender,20
540,Targett,Newcastle,2,0.5,47,423,121205,5.1,24,Defender,5.1
541,Saint-Maximin,Newcastle,3,3.1,61,747,974902,7.4,45,Midfielder,7.4
542,Almirón Rejala,Newcastle,3,22.7,54,1955,5726290,23.5,127,Midfielder,23.5
543,Longstaff,Newcastle,3,1.2,43,1834,385781,16.5,71,Midfielder,16.5
544,Apolinário de Lira,Newcastle,3,0.6,59,1849,191016,10.8,64,Midfielder,10.8
545,Lewis,Newcastle,2,0,44,7,3820,0.2,1,Defender,0.2
546,Willock,Newcastle,3,0.4,47,1625,165803,15.7,74,Midfielder,15.7
547,Guimarães Rodriguez Moura,Newcastle,3,2.5,55,1488,706553,12.2,67,Midfielder,12.2
549,Pope,Newcastle,1,20.9,54,2091,3702552,19.6,106,Goalkeeper,19.6
550,Botman,Newcastle,2,5.4,45,1867,1086080,20,90,Defender,20
551,Anderson,Newcastle,3,0.1,43,135,23399,2.6,11,Midfielder,2.6
553,Isak,Newcastle,4,1.4,66,464,1195335,4.8,32,Forward,4.8
557,Williams,Nott'm Forest,2,15.7,39,1330,1947673,10.5,41,Defender,10.5
558,Shelvey,Nott'm Forest,3,0,48,295,1971,2.3,11,Midfielder,2.3
559,Wood,Nott'm Forest,4,0.7,56,802,138404,9.3,52,Forward,9.3
561,Cook,Nott'm Forest,2,0.1,43,956,12004,4.7,20,Defender,4.7
563,Colback,Nott'm Forest,3,0.7,41,492,191526,3.4,14,Midfielder,3.4
565,Ribeiro Dias,Nott'm Forest,3,0.3,42,6,66609,0.2,1,Midfielder,0.2
567,McKenna,Nott'm Forest,2,0.1,44,1461,15573,8.6,38,Defender,8.6
569,Yates,Nott'm Forest,3,0,50,1411,6399,8.4,42,Midfielder,8.4
570,Worrall,Nott'm Forest,2,0.1,42,1516,23819,8.8,37,Defender,8.8
573,Surridge,Nott'm Forest,4,0.8,47,257,136435,4.5,21,Forward,4.5
576,Johnson,Nott'm Forest,4,2.4,57,2060,493205,16,91,Forward,16
577,Mighten,Nott'm Forest,3,0,49,7,414,0.2,1,Midfielder,0.2
579,Awoniyi,Nott'm Forest,4,0.4,56,723,174117,8.9,50,Forward,8.9
580,Henderson,Nott'm Forest,1,6.1,46,1620,1417414,17.8,82,Goalkeeper,17.8
581,Biancone,Nott'm Forest,2,0,42,15,1612,0.5,2,Defender,0.5
582,Boly,Nott'm Forest,2,0.2,42,593,25307,7.9,33,Defender,7.9
583,Gibbs-White,Nott'm Forest,3,0.5,55,2005,166321,16,88,Midfielder,16
584,Niakhaté,Nott'm Forest,2,0,43,160,2566,1.6,7,Defender,1.6
586,Hennessey,Nott'm Forest,1,1.5,39,180,115967,1,4,Goalkeeper,1
587,Toffolo,Nott'm Forest,2,0.1,43,634,16664,4.7,20,Defender,4.7
588,O'Brien,Nott'm Forest,3,0,48,578,5666,4.6,22,Midfielder,4.6
589,Lingard,Nott'm Forest,3,1.2,54,871,189557,5.7,31,Midfielder,5.7
590,Mangala,Nott'm Forest,3,0,49,707,2387,4.5,22,Midfielder,4.5
592,Freuler,Nott'm Forest,3,0,49,1709,3964,8.8,43,Midfielder,8.8
593,Kouyaté,Nott'm Forest,3,0.1,44,701,46843,6.1,27,Midfielder,6.1
594,Dennis,Nott'm Forest,4,0.1,56,420,54834,3.9,22,Forward,3.9
595,Lodi dos Santos,Nott'm Forest,2,0.2,43,1341,58387,8.6,37,Defender,8.6
597,Aurier,Nott'm Forest,2,0.6,44,1250,214516,12.5,55,Defender,12.5
600,Furtado Scarpa,Nott'm Forest,3,0,48,158,1935,0.6,3,Midfielder,0.6
601,dos Santos de Oliveira,Nott'm Forest,3,0,45,147,1148,0.4,2,Midfielder,0.4
602,Navas,Nott'm Forest,1,0.9,45,450,118495,3.3,15,Goalkeeper,3.3
603,de Almeida Monteiro,Nott'm Forest,2,0,45,353,3449,0.7,3,Defender,0.7
604,Ayew,Nott'm Forest,3,0,50,102,673,1,5,Midfielder,1
605,Maitland-Niles,Southampton,3,0,48,900,5172,4.8,23,Midfielder,4.8
606,Lavia,Southampton,3,0.2,45,1158,84855,6.9,31,Midfielder,6.9
607,Walcott,Southampton,3,0,48,257,2926,1.9,9,Midfielder,1.9
609,Romeu Vidal,Southampton,3,0,48,74,932,0.4,2,Midfielder,0.4
610,Redmond,Southampton,3,0,53,1,1007,0.2,1,Midfielder,0.2
611,Armstrong,Southampton,3,0.1,47,886,15140,7.2,34,Midfielder,7.2
612,Elyounoussi,Southampton,3,0.1,52,1604,7442,8.1,42,Midfielder,8.1
613,Ward-Prowse,Southampton,3,6,63,2250,1150119,14.3,90,Midfielder,14.3
614,Armstrong,Southampton,4,0.8,54,1087,275905,7.8,42,Forward,7.8
615,Walker-Peters,Southampton,2,0.6,44,1512,146038,8.9,39,Defender,8.9
616,Bednarek,Southampton,2,0.2,42,707,13695,4.8,20,Defender,4.8
617,Adams,Southampton,4,1.1,61,1636,514160,12.6,77,Forward,12.6
619,Silveira Neves Vojnovic,Southampton,2,0,44,692,3561,3.4,15,Defender,3.4
622,Diallo,Southampton,3,0.3,42,742,51916,4,17,Midfielder,4
623,Perraud,Southampton,2,0.7,41,1333,231528,14.4,59,Defender,14.4
624,Djenepo,Southampton,3,0.1,50,573,16554,4,20,Midfielder,4
626,Salisu,Southampton,2,0.2,43,1889,31537,7.4,32,Defender,7.4
628,Bazunu,Southampton,1,0.6,45,2250,76536,15.6,70,Goalkeeper,15.6
629,Bella-Kotchap,Southampton,2,0.2,45,1297,39461,7.3,33,Defender,7.3
631,Ayodele-Aribo,Southampton,3,0.3,51,1089,57665,8.2,42,Midfielder,8.2
632,Mara,Southampton,4,0.1,53,402,21260,3.8,20,Forward,3.8
633,Larios López,Southampton,2,0,40,150,9870,1,4,Defender,1
634,Caleta-Car,Southampton,2,0,45,713,4379,4.2,19,Defender,4.2
635,Edozie,Southampton,3,0,47,530,2523,4.5,21,Midfielder,4.5
639,Orsic,Southampton,3,0,52,6,4135,0.2,1,Midfielder,0.2
640,Alcaraz,Southampton,3,0,50,184,2552,3.6,18,Midfielder,3.6
641,Bree,Southampton,2,0,45,169,679,0.7,3,Defender,0.7
642,Sulemana,Southampton,3,0,50,334,2335,2,10,Midfielder,2
643,Onuachu,Southampton,4,0,55,238,7018,1.1,6,Forward,1.1
644,Lloris,Spurs,1,3.4,54,1890,496774,15.2,82,Goalkeeper,15.2
645,Forster,Spurs,1,4.1,39,450,230293,4.4,17,Goalkeeper,4.4
646,Kane,Spurs,4,37.9,117,2326,5751132,13.9,163,Forward,13.9
647,Heung-min,Spurs,3,5.7,116,1851,1284487,7.6,88,Midfielder,7.6
648,Doherty,Spurs,2,0.3,46,663,198746,7.6,35,Defender,7.6
649,Dier,Spurs,2,6.5,51,2094,1558908,17.3,88,Defender,17.3
650,Rodrigues Moura da Silva,Spurs,3,0.2,58,107,13160,1.7,10,Midfielder,1.7
651,Davies,Spurs,2,1.9,48,1702,320255,17.9,86,Defender,17.9
652,Højbjerg,Spurs,3,2.3,55,2231,747064,17.5,96,Midfielder,17.5
654,Sánchez,Spurs,2,0.5,43,566,75865,5.1,22,Defender,5.1
655,Sessegnon,Spurs,2,0.6,44,805,264128,8,35,Defender,8
658,Tanganga,Spurs,2,2.4,39,141,241326,0.5,2,Defender,0.5
659,Bentancur,Spurs,3,0.3,54,1501,105759,13.1,71,Midfielder,13.1
660,Skipp,Spurs,3,0.1,43,463,16686,5.1,22,Midfielder,5.1
662,Romero,Spurs,2,1.4,49,1463,215065,9.8,48,Defender,9.8
663,Bissouma,Spurs,3,0.2,47,803,31465,4.9,23,Midfielder,4.9
664,Leite de Souza Junior,Spurs,2,3.7,50,1381,974669,15,75,Defender,15
665,Kulusevski,Spurs,3,4,79,1375,2025152,8.9,70,Midfielder,8.9
667,Perišić,Spurs,2,17.4,54,1515,3545796,13.5,73,Defender,13.5
668,White,Spurs,3,0.4,44,4,54478,0.2,1,Midfielder,0.2
669,Sarr,Spurs,3,0.5,42,135,89265,1.2,5,Midfielder,1.2
673,de Andrade,Spurs,4,0.8,84,654,198712,3.6,30,Forward,3.6
674,Lenglet,Spurs,2,0.3,48,1191,39852,8.1,39,Defender,8.1
675,Spence,Spurs,2,0.2,41,5,14538,1,4,Defender,1
676,Gil Salvatierra,Spurs,3,0,50,146,8025,1.8,9,Midfielder,1.8
677,Danjuma,Spurs,3,0,63,11,5764,0.2,1,Midfielder,0.2
678,Porro,Spurs,2,0.2,48,157,36713,1.7,8,Defender,1.7
679,Ings,West Ham,4,1.8,64,1054,444714,11.9,76,Forward,11.9
680,Fabianski,West Ham,1,1.1,50,2031,179958,17.2,86,Goalkeeper,17.2
681,Ogbonna,West Ham,2,0.1,44,713,8405,5.5,24,Defender,5.5
682,Cresswell,West Ham,2,1.3,47,1578,361998,9.1,43,Defender,9.1
683,Antonio,West Ham,4,1.4,70,1120,221470,7.6,53,Forward,7.6
684,Lanzini,West Ham,3,0.1,51,143,14197,1.4,7,Midfielder,1.4
685,Zouma,West Ham,2,1,44,1295,288196,13.2,58,Defender,13.2
687,Coufal,West Ham,2,0.6,41,1425,244829,8.5,35,Defender,8.5
688,Benrahma,West Ham,3,0.8,55,1330,182845,11.6,64,Midfielder,11.6
689,Bowen,West Ham,3,2.8,80,2241,955253,11.5,92,Midfielder,11.5
691,Rice,West Ham,3,3.2,47,2250,375515,16.4,77,Midfielder,16.4
692,Soucek,West Ham,3,0.6,51,1905,104847,11.6,59,Midfielder,11.6
693,Fornals Malla,West Ham,3,0.4,49,1018,77755,9,44,Midfielder,9
694,Johnson,West Ham,2,0.1,44,740,6595,5.9,26,Defender,5.9
695,Aguerd,West Ham,2,0.2,48,784,28559,4,19,Defender,4
696,Areola,West Ham,1,0.9,43,217,64733,0.9,4,Goalkeeper,0.9
697,Downes,West Ham,3,0.3,42,392,54553,4,17,Midfielder,4
698,Scamacca,West Ham,4,0.6,66,921,421231,6.2,41,Forward,6.2
699,Palmieri dos Santos,West Ham,2,1.6,40,715,492987,6.5,26,Defender,6.5
700,Coventry,West Ham,3,0.1,44,1,10100,0.2,1,Midfielder,0.2
702,Cornet,West Ham,3,0,59,85,20830,0.8,5,Midfielder,0.8
703,Kehrer,West Ham,2,0.2,44,1575,80209,8.9,39,Defender,8.9
704,Tolentino Coelho de Lima,West Ham,3,0.5,59,1241,292090,9.3,55,Midfielder,9.3
705,Mubama,West Ham,4,0,45,3,7322,0.2,1,Forward,0.2
709,Dawson,Wolves,2,1,48,1260,147622,9.2,44,Defender,9.2
710,Jiménez,Wolves,4,0.4,67,557,110008,3.3,22,Forward,3.3
711,Castro Otto,Wolves,2,0.3,43,1106,128368,9.3,40,Defender,9.3
712,Malheiro de Sá,Wolves,1,5.5,50,2340,931047,21.6,108,Goalkeeper,21.6
713,da Silva Neves,Wolves,3,2.7,54,2250,581000,15.9,86,Midfielder,15.9
714,Hee-chan,Wolves,3,0.1,57,682,27933,4.7,27,Midfielder,4.7
715,Cabral Semedo,Wolves,2,0.7,50,1632,130680,9.4,47,Defender,9.4
716,Castelo Podence,Wolves,3,0.7,53,1376,270074,13.6,72,Midfielder,13.6
717,Kilman,Wolves,2,3.8,44,2340,815797,18,79,Defender,18
719,Lomba Neto,Wolves,3,1.6,49,645,213115,3.9,19,Midfielder,3.9
720,Aït-Nouri,Wolves,2,0.9,42,1001,168212,9.5,40,Defender,9.5
722,Gomes,Wolves,2,1.5,39,306,294881,2.8,11,Defender,2.8
724,Traoré Diarra,Wolves,3,0.3,54,1086,58535,9.3,50,Midfielder,9.3
727,Santos Moutinho,Wolves,3,0.4,47,1564,31641,10.4,49,Midfielder,10.4
728,Collins,Wolves,2,0.6,43,1517,185851,10,43,Defender,10
730,Bueno López,Wolves,2,4.3,39,1040,1048808,8.2,32,Defender,8.2
731,Hodge,Wolves,3,0,44,167,7803,0.9,4,Midfielder,0.9
732,Ronan,Wolves,3,0.1,44,1,23174,0.2,1,Midfielder,0.2
733,Campbell,Wolves,3,0.3,44,68,63904,1.1,5,Midfielder,1.1
734,Ganchinho Guedes,Wolves,3,0.2,58,703,113557,5,29,Midfielder,5
735,Nunes,Wolves,3,0.2,48,1673,59620,11.2,54,Midfielder,11.2
736,Kalajdzic,Wolves,4,0,53,45,9196,0.2,1,Forward,0.2
737,Da Silva Costa,Wolves,4,0.3,54,707,165223,2.8,15,Forward,2.8
738,Traoré,Wolves,3,0,43,380,15690,2.8,12,Midfielder,2.8
741,Lembikisa,Wolves,2,0,40,22,2442,0.2,1,Defender,0.2
742,Santos Carneiro Da Cunha,Wolves,4,0.2,55,400,56712,1.8,10,Forward,1.8
743,Lemina,Wolves,3,0,45,416,986,1.8,8,Midfielder,1.8
744,Sarabia,Wolves,3,0.2,55,470,43689,3.3,18,Midfielder,3.3
746,Gomes da Silva,Wolves,3,0,45,66,9559,2,9,Midfielder,2
